"Table: The Duelist"
"Level","Base Attack Bonus","Fort Save","Ref Save","Will Save","Special"
"1st","+1","+0","+2","+0","Canny defense"
"2nd","+2","+0","+3","+0","Improved reaction +2"
"3rd","+3","+1","+3","+1","Enhanced mobility"
"4th","+4","+1","+4","+1","Grace"
"5th","+5","+1","+4","+1","Precise strike +1d6"
"6th","+6","+2","+5","+2","Acrobatic charge"
"7th","+7","+2","+5","+2","Elaborate parry"
"8th","+8","+2","+6","+2","Improved reaction +4"
"9th","+9","+3","+6","+3","Deflect Arrows"
"10th","+10","+3","+7","+3","Precise strike +2d6"

