"Table: The Horizon Walker"
"Level","Base Attack Bonus","Fort Save","Ref Save","Will Save","Special"
"1st","+1","+2","+0","+0","Terrain mastery"
"2nd","+2","+3","+0","+0","Terrain mastery"
"3rd","+3","+3","+1","+1","Terrain mastery"
"4th","+4","+4","+1","+1","Terrain mastery"
"5th","+5","+4","+1","+1","Terrain mastery"
"6th","+6","+5","+2","+2","Planar terrain mastery"
"7th","+7","+5","+2","+2","Planar terrain mastery"
"8th","+8","+6","+2","+2","Planar terrain mastery"
"9th","+9","+6","+3","+3","Planar terrain mastery"
"10th","+10","+7","+3","+3","Planar terrain mastery"

