"Table : The Loremaster"
"Level","Base Attack Bonus","Fort Save","Ref Save","Will Save","Special","Spells per Day"
"1st","+0","+0","+0","+2","Secret","+1 level of existing class"
"2nd","+1","+0","+0","+3","Lore","+1 level of existing class"
"3rd","+1","+1","+1","+3","Secret","+1 level of existing class"
"4th","+2","+1","+1","+4","Bonus language","+1 level of existing class"
"5th","+2","+1","+1","+4","Secret","+1 level of existing class"
"6th","+3","+2","+2","+5","Greater lore","+1 level of existing class"
"7th","+3","+2","+2","+5","Secret","+1 level of existing class"
"8th","+4","+2","+2","+6","Bonus language","+1 level of existing class"
"9th","+4","+3","+3","+6","Secret","+1 level of existing class"
"10th","+5","+3","+3","+7","True lore","+1 level of existing class"

