"Psicrystal Special Abilities"
"Owner Level","Natural Armor Adj.","Int Adj.","Special"
"1st–2nd","+0","+0","Alertness, improved evasion, personality, self-propulsion, share powers, sighted, telepathic link"
"3rd–4th","+1","+1","Deliver touch powers"
"5th–6th","+2","+2","Telepathic speech"
"7th–8th","+3","+3","—"
"9th–10th","+4","+4","Flight"
"11th–12th","+5","+5","Power resistance"
"13th–14th","+6","+6","Sight link"
"15th–16th","+7","+7","Channel power"
"17th–18th","+8","+8",""
"19th–20th","+9","+9",""

