"Psicrystal Personalities"
"Personality","Benefit to Owner"
"Artiste","+3 bonus on Craft checks"
"Bully","+3 bonus on Intimidate checks"
"Coward","+3 bonus on Hide checks"
"Friendly","+3 bonus on Diplomacy checks"
"Hero","+2 bonus on Fortitude saves"
"Liar","+3 bonus on Bluff checks"
"Meticulous","+3 bonus on Search checks"
"Nimble","+2 bonus on Initiative checks"
"Observant","+3 bonus on Spot checks"
"Poised","+3 bonus on Balance checks"
"Resolved","+2 bonus on Will saves"
"Sage","+3 bonus on checks involving any one Knowledge skill owner already knows; once chosen, this does not vary"
"Single-minded","+3 bonus on Concentration checks"
"Sneaky","+3 bonus on Move Silently checks"
"Sympathetic","+3 bonus on Sense Motive checks"

