"Table: The Soulknife"
"Level","Base Attack Bonus","Fort Save","Ref Save","Will Save","Special"
"1st","+0","+0","+2","+2","Mind blade, Weapon Focus (mind blade), Wild Talent"
"2nd","+1","+0","+3","+3","Throw mind blade"
"3rd","+2","+1","+3","+3","Psychic strike +1d8"
"4th","+3","+1","+4","+4","+1 mind blade"
"5th","+3","+1","+4","+4","Free draw, shape mind blade"
"6th","+4","+2","+5","+5","Mind blade enhancement +1, Speed of Thought"
"7th","+5","+2","+5","+5","Psychic strike +2d8"
"8th","+6/+1","+2","+6","+6","+2 mind blade"
"9th","+6/+1","+3","+6","+6","Bladewind, Greater Weapon Focus (mind blade)"
"10th","+7/+2","+3","+7","+7","Mind blade enhancement +2"
"11th","+8/+3","+3","+7","+7","Psychic strike +3d8"
"12th","+9/+4","+4","+8","+8","+3 mind blade"
"13th","+9/+4","+4","+8","+8","Knife to the soul"
"14th","+10/+5","+4","+9","+9","Mind blade enhancement +3"
"15th","+11/+6","+5","+9","+9","Psychic strike +4d8"
"16th","+12/+7","+5","+10","+10","+4 mind blade"
"17th","+12/+7","+5","+10","+10","Multiple throw"
"18th","+13/+8","+6","+11","+11","Mind blade enhancement +4"
"19th","+14/+9","+6","+11","+11","Psychic strike +5d8"
"20th","+15/+10/+5","+6","+12","+12","+5 mind blade"

