"Table: The Psionic Fist"
"Level","Base Attack Bonus","Fort Save","Ref Save","Will Save","Special","Points/Day","Powers Known","Level Known"
"1st","+0","+0","+2","+2","Monk abilities","1","1","1st"
"2nd","+1","+0","+3","+3","—","3","2","1st"
"3rd","+2","+1","+3","+3","—","6","3","2nd"
"4th","+3","+1","+4","+4","—","10","4","2nd"
"5th","+3","+1","+4","+4","Bonus psionic feat","15","5","3rd"
"6th","+4","+2","+5","+5","—","23","6","3rd"
"7th","+5","+2","+5","+5","—","31","7","4th"
"8th","+6","+2","+6","+6","—","43","8","4th"
"9th","+6","+3","+6","+6","—","55","9","5th"
"10th","+7","+3","+7","+7","Bonus psionic feat","71","10","5th"

