"Table: The Metamind"
"Level","Base Attack Bonus","Fort Save","Ref Save","Will Save","Special","Powers Known"
"1st","+0","+0","+0","+2","Free manifesting 1st, 3/day","—"
"2nd","+1","+0","+0","+3","Cognizance psicrystal 5 points","+1 level of existing manifesting class"
"3rd","+1","+1","+1","+3","Free manifesting 2nd, 3/day","—"
"4th","+2","+1","+1","+4","Cognizance psicrystal 7 points","+1 level of existing manifesting class"
"5th","+2","+1","+1","+4","Free manifesting 3rd, 1/day","—"
"6th","+3","+2","+2","+5","Cognizance psicrystal 9 points","+1 level of existing manifesting class"
"7th","+3","+2","+2","+5","Free manifesting 4th, 1/day","—"
"8th","+4","+2","+2","+6","Cognizance psicrystal 11 points","+1 level of existing manifesting class"
"9th","+4","+3","+3","+6","Free manifesting 5th, 1/day","—"
"10th","+5","+3","+3","+7","Font of power","+1 level of existing manifesting class"

