"Table: The Pyrokineticist"
"Level","Base Attack Bonus","Fort Save","Ref Save","Will Save","Special"
"1st","+0","+2","+2","+0","Fire lash"
"2nd","+1","+3","+3","+0","Fire adaptation, hand afire"
"3rd","+2","+3","+3","+1","Bolt of fire"
"4th","+3","+4","+4","+1","Weapon afire"
"5th","+3","+4","+4","+1","Nimbus"
"6th","+4","+5","+5","+2","Firewalk"
"7th","+5","+5","+5","+2","Fear no fire"
"8th","+6","+6","+6","+2","Greater weapon afire"
"9th","+6","+6","+6","+3","Heat death"
"10th","+7","+7","+7","+3","Conflagration"

