"Table: The Thrallherd"
"Level","Base Attack Bonus","Fort Save","Ref Save","Will Save","Special","Powers Known"
"1st","+0","+0","+0","+2","Thrallherd","—"
"2nd","+1","+0","+0","+3","—","+1 level of existing manifesting class"
"3rd","+1","+1","+1","+3","Psionic charm","+1 level of existing manifesting class"
"4th","+2","+1","+1","+4","—","+1 level of existing manifesting class"
"5th","+2","+1","+1","+4","Psionic dominate","+1 level of existing manifesting class"
"6th","+3","+2","+2","+5","—","+1 level of existing manifesting class"
"7th","+3","+2","+2","+5","Greater dominate","+1 level of existing manifesting class"
"8th","+4","+2","+2","+6","—","+1 level of existing manifesting class"
"9th","+4","+3","+3","+6","Superior dominate","+1 level of existing manifesting class"
"10th","+5","+3","+3","+7","Twofold master","—"

