"Table: Psionic Armor Special Abilities"
"Minor","Medium","Major","Special Ability","Base Price Modifier"
"01–30","01–07","01–03","Quickness","+1 bonus 1"
"31–74","08–30","04–05","Landing","+4,000 gp"
"75–80","31–46","06–10","Floating","+4,000 gp"
"81–96","47–55","11–20","Linked","+6,000 gp"
"97","56–66","21–30","Seeing","+6,000 gp"
"98","67–75","31–40","Power resistance (13)","+2 bonus 1"
"99","76–83","41–50","Ectoplasmic","+10,800 gp"
"—","84–89","51–60","Gleaming","+3 bonus 1"
"—","90–94","61–70","Power resistance (15)","+3 bonus 1"
"—","95–98","71–77","Vanishing","+3 bonus 1"
"—","99","78–83","Mindarmor","+24,000 gp"
"—","—","84–89","Power resistance (17)","+4 bonus 1"
"—","—","90–94","Radiant","+4 bonus 1"
"—","—","95–96","Aporter","+40,320 gp"
"—","—","97–98","Power resistance (19)","+5 bonus 1"
"—","—","99","Phasing","+65,520 gp"
"100","100","100","Roll twice again 2","—"
"1 Add to enhancement bonusto determine total market price."
"2 If you roll a special ability twice, only one counts. If you roll two versions of the same special
            ability, use the better."

