"Table: Dorjes"
"Minor","Medium","Major","Power Level 1","Market Price 2"
"01–50","—","—","1st","750 gp"
"51–95","01–05","—","2nd","4,500 gp"
"96–100","06–65","—","3rd","11,250 gp"
"—","66–95","01–05","4th","21,000 gp"
"—","96–100","06–50","5th","33,750 gp"
"—","—","51–70","6th","49,500 gp"
"—","—","71–85","7th","68,250 gp"
"—","—","86–95","8th","90,000 gp"
"—","—","95–100","9th","114,750 gp"
"1 Some dorjes have higher manifester levels than the minimum power level, which give them commensurately
            higher costs."
"2 Any dorje that stores a power with an experience point cost also has an XP cost in addition to that noted
            here."

