"Table: Medium Universal Items"
"d%","Item","Market Price"
"01–04","Psionatrix of clairsentience","8,000 gp"
"05–08","Psionatrix of metacreativity","8,000 gp"
"09–12","Psionatrix of psychokinesis","8,000 gp"
"13–16","Psionatrix of psychometabolism","8,000 gp"
"17–20","Psionatrix of psychoportation","8,000 gp"
"21–25","Psionatrix of telepathy","8,000 gp"
"26–27","Third eye penetrate","8,000 gp"
"28–29","Mirror of time hop","9,000 gp"
"30–31","Crystal mask of detection","10,000 gp"
"32–33","Crystal mask of discernment","10,000 gp"
"34–35","Crystal mask of dread","10,000 gp"
"36–38","Crystal mask of psionic craft","10,000 gp"
"39–41","Ring of self-sufficiency","10,000 gp"
"42–43","Skin of nimbleness","10,000 gp"
"44–45","Third eye aware","10,000 gp"
"46–47","Third eye concentrate","10,000 gp"
"48–49","Third eye gather","10,000 gp"
"50–52","Eyes of power leech","10,080 gp"
"53–55","Third eye powerthieve","10,080 gp"
"56–58","Third eye view","10,180 gp"
"59–61","Crystal mask of mindarmor","10,667 gp"
"62–63","Psionic restraints, greater","12,000 gp"
"64–65","Torc of leech freedom","12,000 gp"
"66–68","Gloves of titan’s grip","14,000 gp"
"69–70","Skin of the claw","16,000 gp"
"71–72","Amulet of catapsi","16,200 gp"
"73–74","Skin of the chameleon","18,000 gp"
"75–76","Pearl, mind seed","18,500 gp"
"77–78","Mirror of mind switch","19,800 gp"
"79–80","Eyes of power leech, vampiric","20,160 gp"
"81–82","Crystal mask of insightful detection","20,250 gp"
"83–84","Crystal anchor, body","24,000 gp"
"85–86","Crystal anchor, comprehension","24,000 gp"
"87–88","Crystal anchor, creation","24,000 gp"
"89–90","Crystal anchor, energy","24,000 gp"
"91","Crystal anchor, ghost","24,000 gp"
"92–93","Crystal anchor, mind","24,000 gp"
"94–95","Crystal anchor, travel","24,000 gp"
"96–97","Psionic restraints, damping","24,000 gp"
"98–100","Third eye sense","24,000 gp"

