"Table: Major Universal Items"
"d%","Item","Market Price"
"01–08","Skin of the defender","32,000 gp"
"09–16","Torc of power preservation","36,000 gp"
"17–24","Boots of temporal acceleration","43,200 gp"
"25–32","Third eye repudiate","43,200 gp"
"33–40","Skin of fiery response","60,000 gp"
"41–49","Skin of the troll","61,200 gp"
"50–57","Skin of the hero","77,500 gp"
"58–63","Skin of the spider","79,080 gp"
"64–72","Skin of proteus","84,000 gp"
"73–80","Third eye expose","112,000 gp"
"81–87","Third eye conceal","120,000 gp"
"88–92","Third eye dominate","120,000 gp"
"93–97","Skin of iron","129,600 gp"
"98–100","Skin of the psion","151,000 gp"

