"Control Flames"
"Manifester Level","Fire Size","Example","Maximum Damage per Round","Space"
"1st–2nd","Fine","Tindertwig","1","1 foot square"
"3rd–4th","Diminutive","Torch","1d3","1 foot square"
"5th–6th","Tiny","Small campfire","1d6","1 foot square"
"7th–8th","Small","Large campfire","2d6","1 foot square"
"9th–10th","Medium","Forge","3d6","1 foot square"
"11th–12th","Large","Bonfire","4d6","2-by-2-foot square"
"13th–14th","Huge","Burning shack","5d6","3-by-3-foot square"
"15th–16th","Gargantuan","Burning tavern","6d6","4-by-4-foot square"
"17th or higher","Colossal","Burning inn","7d6","5-by-5-foot square"

