"Table: Aging Effects"
"Race","Middle Age 1","Old 2","Venerable 3","Maximum Age"
"Dromite","30 years","55 years","75 years","+2d20 years"
"Duergar","125 years","188 years","250 years","+2d% years"
"Elan","200 years","400 years","1,000 years","+10d% years"
"Half-giant","60 years","80 years","120 years","+4d% years"
"Maenad","90 years","150 years","220 years","+2d% years"
"Xeph","45 years","85 years","120 years","+2d20 years"
"1 –1 to Str, Dex, and Con; +1 to Int, Wis, and Cha."
"2 –2 to Str, Dex, and Con; +1 to Int, Wis, and Cha."
"3 –3 to Str, Dex, and Con; +1 to Int, Wis, and Cha."

