"Table: Random Height and Weight"
"Race","Base Height","Height Modifier","Base Weight","Weight Modifier"
"Dromite","2′8″","2d4","30 lb.","x1 lb."
"Duergar, male","3′9″","2d4","110 lb.","x(2d4) lb."
"Duergar, female","3′7″","2d4","80 lb.","x(2d4) lb."
"Elan, male","4′10″","2d10","120 lb.","x(2d4) lb."
"Elan, female","4′5″","2d10","85 lb.","x(2d4) lb."
"Half-giant, male","6′4″","2d12","220 lb.","x(2d6) lb."
"Half-giant, female","6′1″","2d12","180 lb.","x(2d6) lb."
"Maenad, male","5′4″","2d10","150 lb.","x(2d4) lb."
"Maenad, female","5′3″","2d10","120 lb.","x(2d4) lb."
"Xeph, male","4′8″","2d10","100 lb.","x(2d4) lb."
"Xeph, female","4′4″","2d10","75 lb.","x(2d4) lb."

