"Listen DC","Sound"
"–10","A battle"
"0","People talking 1"
"5","A person in medium armor walking at a slow pace (10 ft./round) trying not to make any noise."
"10","An unarmored person walking at a slow pace (15 ft./round) trying not to make any noise"
"15","A 1st-level rogue using Move Silently to sneak past the listener"
"15","People whispering 1"
"19","A cat stalking"
"30","An owl gliding in for a kill"
"1 If you beat the DC by 10 or more, you can make out what’s being said, assuming that you understand the
            language."

