"Task","Search DC"
"Ransack a chest full of junk to find a certain item","10"
"Notice a typical secret door or a simple trap","20"
"Find a difficult nonmagical trap (rogue only) 1","21 or higher"
"Find a magic trap (rogue only) 1","25 + level of spell used to create trap"
"Notice a well-hidden secret door","30"
"Find a footprint","Varies 2"
"1 Dwarves (even if they are not rogues) can use Search to find traps built into or out of stone."
"2 A successful Search check can find a footprint or similar sign of a creature’s passage, but it won’t let
            you find or follow a trail. See the Track feat for the appropriate DC."

