"Spell","Minimum Caster Level","XP Cost"
"Alarm","9th","500 XP"
"Animate objects","14th","3,000 XP"
"Dancing lights","9th","500 XP"
"Ghost sound","9th","500 XP"
"Gust of wind","11th","1,500 XP"
"Invisibility","10th","1,000 XP"
"Mage’s private sanctum","13th","2,500 XP"
"Magic mouth","10th","1,000 XP"
"Phase door","15th","3,500 XP"
"Prismatic sphere","17th","4,500 XP"
"Prismatic wall","16th","4,000 XP"
"Shrink item","11th","1,500 XP"
"Solid fog","12th","2,000 XP"
"Stinking cloud","11th","1,500 XP"
"Symbol of death","16th","4,000 XP"
"Symbol of fear","14th","3,000 XP"
"Symbol of insanity","16th","4,000 XP"
"Symbol of pain","13th","2,500 XP"
"Symbol of persuasion","14th","3,000 XP"
"Symbol of sleep","16th","4,000 XP"
"Symbol of stunning","15th","3,500 XP"
"Symbol of weakness","15th","3,500 XP"
"Teleportation circle","17th","4,500 XP"
"Wall of fire","12th","2,000 XP"
"Wall of force","13th","2,500 XP"
"Web","10th","1,000 XP"

