"1d8","Color of Beam","Effect"
"1","Red","20 points fire damage (Reflex half)"
"2","Orange","40 points acid damage (Reflex half)"
"3","Yellow","80 points electricity damage (Reflex half)"
"4","Green","Poison (Kills; Fortitude partial, take 1d6 points of Con damage instead)"
"5","Blue","Turned to stone (Fortitude negates)"
"6","Indigo","Insane, as insanity spell (Will negates)"
"7","Violet","Sent to another plane (Will negates)"
"8","Struck by two rays; roll twice more, ignoring any “8” results."

