"Summon Monster"
"1st Level"
"2nd Level"
"3rd Level"
"4th Level"
"5th Level"
"6th Level"
"7th Level"
"8th Level"
"9th Level"
""
""
"Celestial dog","LG"
"Celestial owl","LG"
"Celestial giant fire beetle","NG"
"Celestial porpoise 1","NG"
"Celestial badger","CG"
"Celestial monkey","CG"
"Fiendish dire rat","LE"
"Fiendish raven","LE"
"Fiendish monstrous centipede, Medium","NE"
"Fiendish monstrous scorpion, Small","NE"
"Fiendish hawk","CE"
"Fiendish monstrous spider, Small","CE"
"Fiendish octopus 1","CE"
"Fiendish snake, Small viper","CE"
""
"Celestial giant bee","LG"
"Celestial giant bombardier beetle","NG"
"Celestial riding dog","NG"
"Celestial eagle","CG"
"Lemure (devil)","LE"
"Fiendish squid 1","LE"
"Fiendish wolf","LE"
"Fiendish monstrous centipede, Large","NE"
"Fiendish monstrous scorpion, Medium","NE"
"Fiendish shark, Medium 1","NE"
"Fiendish monstrous spider, Medium","CE"
"Fiendish snake, Medium viper","CE"
""
"Celestial black bear","LG"
"Celestial bison","NG"
"Celestial dire badger","CG"
"Celestial hippogriff","CG"
"Elemental, Small (any)","N"
"Fiendish ape","LE"
"Fiendish dire weasel","LE"
"Hell hound","LE"
"Fiendish snake, constrictor","LE"
"Fiendish boar","NE"
"Fiendish dire bat","NE"
"Fiendish monstrous centipede, Huge","NE"
"Fiendish crocodile","CE"
"Dretch (demon)","CE"
"Fiendish snake, Large viper","CE"
"Fiendish wolverine","CE"
""
"Archon, lantern","LG"
"Celestial giant owl","LG"
"Celestial giant eagle","CG"
"Celestial lion","CG"
"Mephit (any)","N"
"Fiendish dire wolf","LE"
"Fiendish giant wasp","LE"
"Fiendish giant praying mantis","NE"
"Fiendish shark, Large 1","NE"
"Yeth hound","NE"
"Fiendish monstrous spider, Large","CE"
"Fiendish snake, Huge viper","CE"
"Howler","CE"
""
"Archon, hound","LG"
"Celestial brown bear","LG"
"Celestial giant stag beetle","NG"
"Celestial sea cat 1","NG"
"Celestial griffon","CG"
"Elemental, Medium (any)","N"
"Achaierai","LE"
"Devil, bearded","LE"
"Fiendish deinonychus","LE"
"Fiendish dire ape","LE"
"Fiendish dire boar","NE"
"Fiendish shark, Huge","NE"
"Fiendish monstrous scorpion, Large","NE"
"Shadow mastiff","NE"
"Fiendish dire wolverine","CE"
"Fiendish giant crocodile","CE"
"Fiendish tiger","CE"
""
"Celestial polar bear","LG"
"Celestial orca whale 1","NG"
"Bralani (eladrin)","CG"
"Celestial dire lion","CG"
"Elemental, Large (any)","N"
"Janni (genie)","N"
"Chaos beast","CN"
"Devil, chain","LE"
"Xill","LE"
"Fiendish monstrous centipede, Gargantuan","NE"
"Fiendish rhinoceros","NE"
"Fiendish elasmosaurus 1","CE"
"Fiendish monstrous spider, Huge","CE"
"Fiendish snake, giant constrictor","CE"
""
"Celestial elephant","LG"
"Avoral (guardinal)","NG"
"Celestial baleen whale 1","NG"
"Djinni (genie)","CG"
"Elemental, Huge (any)","N"
"Invisible stalker","N"
"Devil, bone","LE"
"Fiendish megaraptor","LE"
"Fiendish monstrous scorpion, Huge","NE"
"Babau (demon)","CE"
"Fiendish giant octopus 1","CE"
"Fiendish girallon","CE"
""
"Celestial dire bear","LG"
"Celestial cachalot whale 1","NG"
"Celestial triceratops","NG"
"Lillend","CG"
"Elemental, greater (any)","N"
"Fiendish giant squid 1","LE"
"Hellcat","LE"
"Fiendish monstrous centipede, Colossal","NE"
"Fiendish dire tiger","CE"
"Fiendish monstrous spider, Gargantuan","CE"
"Fiendish tyrannosaurus","CE"
"Vrock (demon)","CE"
""
"Couatl","LG"
"Leonal (guardinal)","NG"
"Celestial roc","CG"
"Elemental, elder (any)","N"
"Devil, barbed","LE"
"Fiendish dire shark 1","NE"
"Fiendish monstrous scorpion, Gargantuan","NE"
"Night hag","NE"
"Bebilith (demon)","CE"
"Fiendish monstrous spider, Colossal","CE"
"Hezrou (demon)","CE"
"1 May be summoned only into an aquatic or watery environment."

